,0,percentage
network,505,0.06905510734308765
planning,505,0.06905510734308765
identify,505,0.06905510734308765
cost,503,0.06878162176945166
tools,497,0.06796116504854369
test,497,0.06796116504854369
various,492,0.06727745111445371
process,489,0.06686722275399973
may,488,0.06673047996718173
learning,486,0.06645699439354574
area,483,0.06604676603309176
simulation,480,0.06563653767263777
team,479,0.06549979488581978
specific,477,0.06522630931218379
activities,477,0.06522630931218379
command,476,0.06508956652536578
decision,475,0.06495282373854779
integration,467,0.06385888144400383
student,466,0.06372213865718583
national,463,0.06331191029673185
approach,460,0.06290168193627786
results,458,0.06262819636264187
force,456,0.06235471078900588
required,451,0.0616709968549159
three,447,0.06112402570764392
software,445,0.06085054013400793
state,440,0.06016682619991796
part,439,0.06003008341309996
critical,439,0.06003008341309996
applications,434,0.05934636947900998
office,434,0.05934636947900998
space,429,0.058662655544920006
associated,428,0.05852591275810201
existing,427,0.058389169971284016
joint,427,0.058389169971284016
marine,427,0.058389169971284016
interest,424,0.05797894161083003
graduate,419,0.05729522767674005
issues,415,0.05674825652946807
e,414,0.056611513742650076
forces,413,0.05647477095583208
designed,411,0.05620128538219609
assessment,409,0.0559277998085601
courses,404,0.05524408587447012
developing,404,0.05524408587447012
effective,403,0.055107343087652125
advanced,401,0.054833857514016135
us,401,0.054833857514016135
investigate,400,0.05469711472719814
testing,399,0.054560371940380145
year,392,0.05360317243265418
first,391,0.05346642964583618
group,390,0.053329686859018184
address,387,0.0529194584985642
range,387,0.0529194584985642
surface,387,0.0529194584985642
air,385,0.05264597292492821
explore,385,0.05264597292492821
impact,383,0.05237248735129222
knowledge,381,0.05209900177765623
includes,380,0.051962258990838235
energy,380,0.051962258990838235
need,379,0.05182551620402024
personnel,379,0.05182551620402024
strategic,376,0.05141528784356625
concepts,376,0.05141528784356625
officers,372,0.05086831669629427
conducted,372,0.05086831669629427
evaluate,368,0.05032134554902229
across,368,0.05032134554902229
specifically,367,0.050184602762204295
provides,366,0.0500478599753863
determine,364,0.04977437440175031
human,364,0.04977437440175031
purpose,364,0.04977437440175031
enhance,362,0.04950088882811432
large,361,0.04936414604129632
continue,361,0.04936414604129632
science,359,0.04909066046766033
academic,359,0.04909066046766033
processes,357,0.04881717489402434
community,354,0.048406946533570354
propose,352,0.048133460959934364
intelligence,351,0.04799671817311637
perform,350,0.047859975386298374
ability,348,0.047586489812662384
would,346,0.047313004239026395
making,346,0.047313004239026395
multi,342,0.04676603309175441
key,342,0.04676603309175441
better,341,0.04662929030493641
non,339,0.04635580473130042
currently,338,0.04621906194448243
application,338,0.04621906194448243
environments,338,0.04621906194448243
power,337,0.046082319157664434
effects,335,0.045808833584028444
effectiveness,335,0.045808833584028444
providing,333,0.045535348010392454
assess,331,0.045261862436756464
sea,330,0.04512511964993846
understand,330,0.04512511964993846
communications,329,0.04498837686312047
long,329,0.04498837686312047
best,326,0.04457814850266648
plan,325,0.04444140571584849
government,324,0.04430466292903049
evaluation,324,0.04430466292903049
enable,321,0.04389443456857651
maritime,321,0.04389443456857651
topics,320,0.04375769178175851
thesis,319,0.04362094899494052
help,318,0.043484206208122524
corps,318,0.043484206208122524
different,316,0.043210720634486534
multiple,315,0.04307397784766854
collaboration,314,0.04293723506085054
4,314,0.04293723506085054
opportunities,314,0.04293723506085054
integrated,313,0.04280049227403254
resources,312,0.04266374948721455
policy,311,0.04252700670039655
real,309,0.04225352112676056
build,309,0.04225352112676056
set,307,0.04198003555312457
complex,307,0.04198003555312457
provided,305,0.04170654997948858
many,305,0.04170654997948858
expertise,305,0.04170654997948858
funding,304,0.04156980719267059
challenges,304,0.04156980719267059
examine,303,0.04143306440585259
curriculum,303,0.04143306440585259
needs,302,0.0412963216190346
analyze,302,0.0412963216190346
sponsor,302,0.0412963216190346
addition,298,0.04074935047176261
tactical,296,0.04047586489812662
supports,295,0.04033912211130863
experience,294,0.04020237932449063
experimentation,291,0.03979215096403665
concept,291,0.03979215096403665
sensors,290,0.03965540817721865
conditions,289,0.03951866539040066
implementation,288,0.03938192260358266
could,288,0.03938192260358266
small,286,0.03910843702994667
relevant,284,0.038834951456310676
upon,282,0.038561465882674686
create,281,0.03842472309585669
projects,281,0.03842472309585669
distributed,280,0.0382879803090387
focused,279,0.0381512375222207
tasks,279,0.0381512375222207
several,277,0.03787775194858471
computer,275,0.03760426637494872
supporting,275,0.03760426637494872
number,275,0.03760426637494872
make,274,0.03746752358813073
particular,270,0.03692055244085875
delivery,270,0.03692055244085875
materials,269,0.03678380965404075
unmanned,268,0.03664706686722275
important,268,0.03664706686722275
term,268,0.03664706686722275
assist,267,0.036510324080404756
networks,267,0.036510324080404756
tool,267,0.036510324080404756
low,266,0.03637358129358676
emerging,266,0.03637358129358676
participants,264,0.03610009571995077
unique,264,0.03610009571995077
primary,263,0.035963352933132776
collection,262,0.03582661014631478
increase,262,0.03582661014631478
problem,261,0.03568986735949679
applied,259,0.0354163817858608
generation,258,0.0352796389990428
missions,258,0.0352796389990428
second,257,0.03514289621222481
via,257,0.03514289621222481
meet,257,0.03514289621222481
short,256,0.03500615342540681
overall,256,0.03500615342540681
degree,255,0.03486941063858882
weapons,255,0.03486941063858882
phase,254,0.03473266785177082
report,254,0.03473266785177082
combat,253,0.03459592506495282
needed,253,0.03459592506495282
states,253,0.03459592506495282
risk,252,0.034459182278134826
onr,251,0.03432243949131683
allow,251,0.03432243949131683
major,251,0.03432243949131683
operation,250,0.034185696704498836
identified,250,0.034185696704498836
deliver,249,0.03404895391768084
laboratory,248,0.033912211130862846
algorithms,246,0.033638725557226856
experiments,245,0.03350198277040886
ship,244,0.033365239983590866
lead,241,0.03295501162313688
army,240,0.03281826883631889
sensor,240,0.03281826883631889
architecture,239,0.03268152604950089
mobile,239,0.03268152604950089
solutions,239,0.03268152604950089
execution,238,0.03254478326268289
optimization,238,0.03254478326268289
necessary,238,0.03254478326268289
framework,237,0.032408040475864895
approaches,237,0.032408040475864895
international,236,0.0322712976890469
however,236,0.0322712976890469
possible,236,0.0322712976890469
fleet,234,0.03199781211541091
g,234,0.03199781211541091
detection,234,0.03199781211541091
awareness,234,0.03199781211541091
civilian,233,0.031861069328592916
practices,233,0.031861069328592916
distance,233,0.031861069328592916
following,232,0.03172432654177492
service,232,0.03172432654177492
expected,232,0.03172432654177492
response,232,0.03172432654177492
day,231,0.031587583754956926
staff,231,0.031587583754956926
global,231,0.031587583754956926
5,231,0.031587583754956926
years,230,0.03145084096813893
appropriate,230,0.03145084096813893
services,230,0.03145084096813893
apply,229,0.031314098181320936
seeks,229,0.031314098181320936
activity,228,0.03117735539450294
ensure,227,0.031040612607684946
produce,224,0.030630384247230958
initial,224,0.030630384247230958
improved,223,0.030493641460412963
due,223,0.030493641460412963
organizations,222,0.030356898673594968
end,221,0.030220155886776973
executive,220,0.03008341309995898
significant,220,0.03008341309995898
must,219,0.029946670313140984
review,219,0.029946670313140984
previous,218,0.029809927526322985
communication,218,0.029809927526322985
active,218,0.029809927526322985
additional,217,0.02967318473950499
levels,217,0.02967318473950499
requires,217,0.02967318473950499
source,216,0.029536441952686995
cyber,215,0.029399699165869
limited,215,0.029399699165869
ocean,215,0.029399699165869
agency,214,0.029262956379051006
logistics,214,0.029262956379051006
access,213,0.02912621359223301
structure,212,0.028989470805415016
working,211,0.028852728018597017
autonomous,211,0.028852728018597017
open,211,0.028852728018597017
